date,outlet,coin,title,url
2019-11-20,The Coin Republic,DASH,What is Dash Cryptocurrency? What will be the price of Dash in the future?,https://www.thecoinrepublic.com/2019/11/20/what-is-dash-cryptocurrency-what-will-be-the-price-of-dash-in-the-future/
2020-01-13,Crypto Ticker ,DASH,"50% in 14 days: Will DASH start another 1000% Bitcoin rally, as it did in 2018?",https://cryptoticker.io/en/dash-cryptocurrency-price/
2020-01-15,CCN,DASH,Dash Takes Massive Leap with 62% Overnight Surge,https://www.ccn.com/dash-takes-massive-leap-with-62-overnight-surge/
2020-01-15,cryptonews,DASH,Dash Up 70% in Two Days – What’s Driving the Rally?,https://cryptonews.com/news/dash-up-70-in-two-days-what-s-driving-the-rally-5534.htm
2020-01-20,FXStreet ,DASH,"Cryptocurrencies price prediction: Bitcoin, Ripple & Dash - Asian Wrap 20 Jan",https://www.fxstreet.com/cryptocurrencies/news/cryptocurrencies-price-prediction-bitcoin-ripple-dash-asian-wrap-20-jan-202001200455
2020-01-21,Cointelepgraph,DASH,"Ether, XRP, and DASH Push Higher as the Altcoin Market Gains Momentum",https://cointelegraph.com/news/ether-xrp-and-dash-push-higher-as-the-altcoin-market-gains-momentum
2020-01-27,BeInCrypto ,DASH,Dash May Have 1 Million Users in Venezuela by Year’s End,https://beincrypto.com/dash-may-have-1-million-users-venezuela-years-end/
2020-01-27,Coincodex ,DASH,Dash Price Analysis - DASH Back to Trading Above $100,https://coincodex.com/article/6722/dash-price-analysis-dash-back-to-trading-above-100/
2020-02-01,Crypto Ticker ,DASH,DASH Cryptocurrency Price Analysis: Strong Recovery Ahead?,https://cryptoticker.io/en/dash-cryptocurrency-price-analysis-strong-recovery-ahead/
2020-02-05,FXStreet ,DASH,Cryptocurrency Market Update: Ripple puts altcoins in the spotlight as NEO and Dash catch the pace,https://www.fxstreet.com/cryptocurrencies/news/cryptocurrency-market-update-ripple-puts-altcoins-in-the-spotlight-as-neo-and-dash-catch-the-pace-202002050947
2019-05-09,CCN,LTC,"Litecoin Hastens Mainstream Adoption, Inks Deal with Blockchain Startup Travala",https://www.ccn.com/litecoin-mainstrea-adoption-travala/
2019-06-11,Forbes,LTC,Litecoin Has Rallied 350% This Year,https://www.forbes.com/sites/cbovaird/2019/06/11/litecoin-has-rallied-350-this-year/#c3d0c56373d1
2019-09-03,The Street,LTC,Cryptocurrency in Focus: Litecoin 'Halves' Some Struggles,https://www.thestreet.com/investing/cryptocurrency-in-focus-litecoin-halves-struggles-15075713
2019-12-20,The Cryptonomist,LTC,"Litecoin, the price rises after the sinking",https://en.cryptonomist.ch/2019/12/20/litecoin-price-rises/
2020-01-25,cointelegraph,LTC,Litecoin Creator Proposes Miners Voluntarily Donate 1% for Development,https://cointelegraph.com/news/litecoin-creator-proposes-miners-voluntarily-donate-1-for-development
2020-01-25,Bitcoin Exchange Guide,LTC,Litecoin Founder Charlie Lee Proposes 1% Block Reward Funding Plan To Rake in $1.5 Million,https://bitcoinexchangeguide.com/litecoin-founder-charlie-lee-proposes-1-block-reward-funding-plan-to-rake-in-1-5-million/
2020-02-05,News BTC,LTC,Litecoin Forming a Multi-Year Top Pattern May Cause an Epic Plunge,https://www.newsbtc.com/2020/02/05/litecoin-multi-year-top-pattern/
2020-02-05,Yahoo Finance,LTC,Litecoin in bullish territory with break out above $70,https://finance.yahoo.com/news/litecoin-bullish-territory-break-above-153044392.html
2020-02-11,News BTC,LTC,Litecoin to See Explosive Rally to $100 as Crypto Market Builds Strength,https://www.newsbtc.com/2020/02/11/litecoin-to-see-explosive-rally-to-100-as-crypto-market-builds-strength/
2020-02-16,Micky News,LTC,Litecoin creator says attack shows ‘DeFi will never work’,https://micky.com.au/litecoin-creator-says-attack-shows-defi-will-never-work/
2019-05-15,Reuters,XMR,Explainer: 'Privacy coin' Monero offers near total anonymity,https://www.reuters.com/article/us-crypto-currencies-altcoins-explainer/explainer-privacy-coin-monero-offers-near-total-anonymity-idUSKCN1SL0F0
2019-07-05,Yahoo Finance,XMR,Monero patches security vulnerabilities; the worst of which could have made exchanges vulnerable to XMR theft,https://finance.yahoo.com/news/monero-patches-security-vulnerabilities-worst-190344413.html
2019-10-17,Ethereum World News,XMR,Privacy Crypto Monero (XMR) Outperforms Bitcoin Amid Regulatory Bust,https://en.ethereumworldnews.com/privacy-crypto-monero-outperform-bitcoin-bust/
2019-10-30,The Street,XMR,Cryptocurrency in Focus: Monero's a Rebel With a Cause,https://www.thestreet.com/investing/cryptocurrency/cryptocurrency-in-focus-monera-s-a-rebel-with-a-cause-15145095
2020-01-19,AltCoin Buzz,XMR,Monero Integrates Trezor Model T,https://www.altcoinbuzz.io/cryptocurrency-news/partnerships/monero-integrates-trezor-model-t/
2020-01-22,ALTCOINS,XMR,Monero will continue beating the drum of improving privacy,https://ambcrypto.com/monero-wants-to-continue-beating-the-drum-of-improving-privacy/
2020-01-30,TWJ News,XMR,Monero [XMR] Introduces New RPC Feature To Incentivize Operators To Earn,https://www.tronweekly.com/news-monero-xmr-introduces-new-rpc-feature-to-incentivize-operators-to-earn/
2020-02-01,Cryptocurrency News,XMR,Monero RandomX algorithm upgrade Features Advantageous to Operators,https://thecurrencyanalytics.com/10970/monero-randomx-algorithm-upgrade-features-advantageous-to-operators/
2020-02-02,U.today,XMR,New High-Profit Monero (XMR) Trading Option on Binance: Details,https://u.today/new-high-profit-monero-xmr-trading-option-on-binance-details
2020-02-14,The Currency Analytics,XMR,Monero XMR Privacy Coins Is Used by North Korea to Circumvent Sanctions,https://thecurrencyanalytics.com/11504/monero-xmr-privacy-coins-is-used-by-north-korea-to-circumvent-sanctions/
2018-06-19,Wired,XTZ,https://www.wired.com/story/tezos-blockchain-love-story-horror-story/,https://www.wired.com/story/tezos-blockchain-love-story-horror-story/
2019-10-03,Coindesk ,XTZ,What Tezos and Bitcoin Have in Common,https://www.coindesk.com/what-tezos-and-bitcoin-have-in-common
2019-11-06,Wired,XTZ,https://www.wired.com/story/coinbase-bitcoin-staking/,https://www.wired.com/story/coinbase-bitcoin-staking/
2019-12-17,Cryptovest,XTZ,Tezos (XTZ) Defies Market Drop Again on Bittrex US Listing,https://cryptovest.com/news/tezos-xtz-defies-market-drop-again-on-bittrex-us-listing/
2020-01-25,BeInCrypto ,XTZ,"Tezos May Be on the Verge of a Breakdown, Analyst Claims",https://beincrypto.com/tezos-may-be-verge-of-breakdown-analyst-claims/
2020-02-01,Crypto Briefing,XTZ,"EOS, Tezos, Chainlink Show Signs of Exhaustion",https://cryptobriefing.com/eos-tezos-chainlink-exhaustion/
2020-02-03,Forbes,XTZ,"As Bitcoin Fails To Break Out, This Minor Cryptocurrency Has Surged By 400%",https://www.forbes.com/sites/billybambrough/2020/02/03/as-bitcoin-fails-to-breakout-this-minor-cryptocurrency-has-surged-by-400/#63eb0d6f6fd3
2020-02-07,News Logical,XTZ,Crypto Rating Says Tezos Among Top Altcoins That Will Outpace Bitcoin In 2020,https://newslogical.com/crypto-rating-says-tezos-among-top-altcoins-that-will-outpace-bitcoin-in-2020/
2020-02-07,Cryptocurrency News ,XTZ,Tezos (XTZ) Soars Over 32% in a Week: Here’s Why,https://cryptocurrencynews.com/tezos-xtz-soars-02-07-20/
2020-02-09,Yahoo Finance,XTZ,The Crypto Daily – Movers and Shakers – 10/02/20,https://finance.yahoo.com/news/crypto-daily-movers-shakers-10-005551243.html
2020-02-12,Cointelegraph ,XTZ,Tezos Is the Standout in New 2020 ‘Alt Season’ Gaining 54% in 7 Days,https://cointelegraph.com/news/tezos-is-the-standout-in-new-2020-alt-season-gaining-54-in-7-days
2020-02-12,FXStreet ,XTZ,A 378.10% rise in less than 4 months is Tezos the new Bitcoin?,https://www.fxstreet.com/cryptocurrencies/news/a-37810-rise-in-less-than-4-months-is-tezos-the-new-bitcoin-202002121740
2019-02-21,U.today,ZEC,"Zcash Company (ZEC) Launches Rebranding, Zcash Currency Remains",https://u.today/zcash-company-zec-launches-rebranding-zcash-currency-remains
2019-04-17,Forbes,ZEC,Zcash Creators Invest In Startup Bringing Truly Private Cryptocurrency To The Masses,https://www.forbes.com/sites/benjaminpirus/2019/04/17/electric-coin-company-and-dekrypt-capital-invest-in-private-off-chain-scaling-solution-bolt/#5339f74d3f93
2019-08-16,Commodity,ZEC,Zcash Investments: How Does This Cryptocurrency Compare To Its Rivals?,https://commodity.com/cryptocurrency/zcash/
2019-10-03,Crypto world,ZEC,Zcash Will Get a Gateway Into Ethereum’s DeFi Ecosystem,https://cryptoworld.club/zcash-will-get-a-gateway-into-ethereums-defi-ecosystem/
2019-11-07,The Next Web,ZEC,Zcash founders hand trademarks to non-profit foundation — for free,https://thenextweb.com/hardfork/2019/11/07/zcash-founders-hand-trademarks-to-non-profit-foundation-for-free/
2020-01-29,The blockcrypto,ZEC,Zcash community votes to allocate 20% of network mining rewards to support development,https://www.theblockcrypto.com/linked/54344/zcash-community-votes-to-allocate-20-of-network-mining-rewards-to-support-development
2020-02-04,Coin Telegraph,ZEC,Zcash is now on binance futures with new perpetual contract,https://cointelegraph.com/news/zcash-is-now-on-binance-futures-with-new-perpetual-contract
2020-02-16,The currency Analytics,ZEC,ZCash Funding the Walking Onions Design to improve the design on the Tor Network,https://thecurrencyanalytics.com/11575/zcash-funding-the-walking-onions-design-to-improve-the-design-on-the-tor-network/
2020-02-17,Coingape,ZEC,Zcash (ZEC) Spikes 20% In A Day As Community Passes New Proposal On Mining Rewards,https://coingape.com/zcash-zec-spikes-20-in-a-day-as-community-passes-new-proposal-on-mining-rewards/
2020-02-17,Crypto ticket,ZEC,"Zcash Approves ZIP-1014, Funding Secured For Development",https://cryptoticker.io/en/zcash-approves-zip-1014-funding-secured-for-development/
